"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"INE-1{}3385",-0.0874424081175947,2.64765516965786,-0.578740935135144,0.571715841265204,0.723727005638483,-6.89386870030054
"Pk34A",-0.0589802112796081,2.9573308649003,-0.578471508063385,0.571892843285255,0.723890941168379,-6.96628211148752
"CG34398",-0.0579178301126662,6.72030731502037,-0.57787171556726,0.57228698474676,0.724277242354931,-7.29812370574544
"CG5989",-0.0411136695234705,4.74439968805086,-0.577862440381068,0.57229308086864,0.724277242354931,-7.22044244897315
"Klp64D",0.0534107386983968,4.11351468478255,0.577688911845279,0.572407138902687,0.724305436540727,-7.15535000606772
"lncRNA:CR43654",0.0758905031472344,3.8294001190614,0.577683932523119,0.572410411922344,0.724305436540727,-7.11678437778635
"Wee1",0.0351825228741484,5.85337276613747,0.5773501593038,0.572629830949784,0.724517684584112,-7.28789078770484
"CG14692",-0.0779774573501498,1.66431244193704,-0.577268816525534,0.572683311541937,0.724517684584112,-6.659978575912
"Ars2",-0.0320739480065521,5.59999102423481,-0.577211844294369,0.572720770747034,0.724517684584112,-7.27751876782271
"CG15011",0.05385133066155,2.83915637903007,0.577038138279469,0.572834990287326,0.724602029546717,-6.94481865008664
"CG6362",0.10048916944483,0.0506901094232368,0.576759725268984,0.573018084363517,0.724773475450245,-6.23786399313969
"enc",0.0378638636938592,7.2762920609701,0.576516351271112,0.573178160744596,0.724915781721797,-7.28996479399768
"CG13877",-0.0649508782521154,3.28094568805073,-0.576248465464588,0.573354386626233,0.72507848744368,-7.02453892642227
"CG32196",0.0868471000353065,0.635081805639777,0.575902817829627,0.573581809336643,0.725305905599936,-6.39965845717382
"PolA2",-0.0942830156809452,0.966118528182099,-0.575598462893266,0.573782102244459,0.725498982676973,-6.48389036496444
"Ibf2",0.0683719264990535,3.0540437785989,0.575295864057351,0.573981275849857,0.725630045520153,-6.99201468036796
"CG44815",0.178734292474243,-1.56445494027657,0.575256500316226,0.574007188126196,0.725630045520153,-5.84769133519014
"Trp1",-0.0367361070733984,7.05308380107786,-0.575178104706591,0.574058796041925,0.725630045520153,-7.29535338463146
"anox",0.262555192666724,4.41735076383036,0.580111501325463,0.574076211209743,0.725630045520153,-7.19517046254504
"RR51001",0.139671004883054,1.80759908484609,0.575577273239003,0.574175214177822,0.725694996190911,-6.69929649192996
"asRNA:CR45738",0.125619827369092,1.29598625754626,0.574788086373535,0.574315581694638,0.72575985951112,-6.57576773399646
"CG6553",-0.0996568930505555,0.839813446359386,-0.574753759260775,0.574338185335276,0.72575985951112,-6.45927910151671
"Rae1",0.0706863396132092,3.9372351041891,0.5746677860384,0.574394798837167,0.72575985951112,-7.13195142275903
"CG34282",0.638585043397202,-1.51065208315422,0.577903660279114,0.574467035764488,0.72575985951112,-5.7965320557581
"wdn",-0.0339849370071645,4.53771281621506,-0.574529730935108,0.574485714457743,0.72575985951112,-7.2029153579828
"CtsL2",0.141119252343055,-1.39959337923916,0.574489413529995,0.574512266741611,0.72575985951112,-5.90574130896683
"spoon",-0.044750784955061,7.10196694535283,-0.574218864521149,0.57469046185834,0.725924793926324,-7.29504453921358
"CG6330",-0.0540885152768888,5.90933477849537,-0.574032342878479,0.574813329825713,0.725992938180345,-7.29073558886095
"lncRNA:CR43486",0.245426896480658,-1.04666663839014,0.573992338145259,0.574839684056577,0.725992938180345,-5.97099331068209
"casp",0.0471734329330382,6.70007770168323,0.573761487344725,0.574991775803144,0.726124847799131,-7.30063057174682
"hopper2{}4186",0.157947269213584,0.0437045554453833,0.573212930477768,0.575353266759132,0.726496029169534,-6.2418903900749
"CG34015",0.0601770397976633,3.03158144350107,0.573107208522545,0.575422949647106,0.726496029169534,-6.98316447750674
"kug",0.0568607434035311,4.8133170851596,0.573079566700808,0.575441169504448,0.726496029169534,-7.22991149897806
"1360{}1504",0.135445888366394,-1.01246921217058,0.573026145956674,0.575476382161064,0.726496029169534,-5.98578358028784
"CG31709",0.0420742629712609,8.33793962543617,0.572720641768911,0.575677779032803,0.726690081376618,-7.25646800810973
"Coa7",-0.0434215717136069,3.89044624682034,-0.572383518757568,0.575900062682849,0.726903132244731,-7.12980471197573
"wam",-0.0411731984312667,6.45706837701205,-0.57231999824907,0.575941950252961,0.726903132244731,-7.30138227984931
"INE-1{}5345",0.121645361185432,1.2637775213381,0.572007804779882,0.576147844321972,0.727087327342087,-6.56461894475651
"CG12682",0.0752399041479661,3.11227059649559,0.571954033910448,0.576183310519054,0.727087327342087,-7.00359154791002
"grn",-0.0841938980423781,1.49182578920939,-0.571813085377103,0.57627628278467,0.727144440274745,-6.62397099489915
